Movie,Review
Batman,"Tim Burton has an extraordinary imagination and a flair for brilliant, excessive comic moments, but he doesn't seem interested either in telling a story or sustaining the internal consistency that even fantasy requires."
Batman,"In sum, this over-touted phenomenon is a thumping good action movie, with a witty script; it should be seen in 70mm and heard in THX sound. In real life, however, as in the final reel, it is Mr. Nicholson who has the last laugh."
Batman,"The film occupies a sort of limbo, belonging to the genre of fantasy but excluded from its pleasures, equally cut off from childhood and maturity, and frustrating rather than rewarding any surrender from an audience."
Batman,"To concentrate too heavily on the film's comic origins is to miss its grasp of Cinema with a capital ""C,"" the way it resonates with archetypal Hollywood imagery while giving its audience something it feels it hasn't experienced before."
Batman,"Owing little to the jokey super heroics of the '60s television show, this revisionist Batman is thrilling in its subversive fusion of visionary set design and kinky sociopathology, special-effects wizardry and sophisticated wit."
Batman,"Engaging, comic and non-threatening when it might have been dangerous and mesmerizingly hard to take. But given the current alternatives, we should be grateful for the pleasures provided, even as we indulge in little sighs of regret."
Batman,Nicholson's unhinged brilliance sets the tone for the much-ballyhooed Batman. It's nasty stuff. This is not the camp cartoon classic of comic books and TV that millions of kids have been weaned on. This is psycho-comedy in the purest sense.
Batman,"In Batman, the Joker finally gets the better of the hero. He pulls off the crime of the century right below the Caped Crusader's nose: He steals his movie."
Batman,"Even when Nicholson is just being Nicholson, as he has done for many movies now, he does it with a vigor and a delight that is infectious. The other great plus here is Basinger, who brings tremendous dimension to a thinly written part."
Batman,Batman comes about as close as possible to living up to its hype. It is an entertaining and visually attractive film that features two wonderful performances.
Batman,"An iconic and enthralling vision of Batman's gothic world, from its characters to its sets and props, with notable performances and powerful music."
Batman,You can see Burton’s fingerprints and those of his collaborators on every frame. What now feels like a rarity in an industry where IP is often valued above craft was absolutely fundamental to every facet of the experience.
Batman,"Batman is a fun mishmash of adventure, humor and horror that doesn’t take itself too seriously but isn’t without some subtlety."
Batman,We enjoyed the movie. Our main complaint is we went to see a movie titled Batman because we wanted to see a movie about Batman. But what we got was a movie titled Batman that was about the Joker.
Batman,"A fascinating watercolor in purple and black, with a surprisingly subtle performance by Michael Keaton."
Batman,"The movie resonates with old-fashioned gangster flavor. Very portentous, very noir."
